"Timestamp","What is your age?","Which Country are you from?","Is your country a peaceful country?","Do you have faith in your government to give you correct information?","Which age group is running your countries government?","Do you know how much your government spends in its military operations? if not can you google and let us know if you find the figure shocking?","Do you dislike any Country? if yes which one?","Why do you dislike that Country?","Do you dislike any particular race of the world? or any religion? If yes why?","What is your idea of peace?","What do you think is the number one cause of not being able to achieve world peace? and equality among all people?","Do you believe that some affluent countries over step their boundaries in the name of freedom?","Where do you get your news from?","Do you believe the information that you get from modern news media?"
"2018/05/01 11:08:10 AM GMT+2","30-40","Chile","Yes","Maybe","Senior","Yes","Israel","War","Chinese","Being free of terrorism and war","No education","Yes","Social Media","Yes"
"2018/05/01 11:15:35 AM GMT+2","30-40","Chile","Yes","No","Senior","Yes","Peru","None","Chinese","Being free of terrorism and war","Money earned from war","Yes","News papers","Maybe"
"2018/05/01 11:17:47 AM GMT+2","20-30","India","Yes","No","Senior","Yes","Not particularly","None","Not specifically","Everyone being treated equally","Politics played by the goverment","Yes","Social Media","Yes"
"2018/05/01 12:01:04 PM GMT+2","30-40","India ","Yes","Yes","Senior","No","China ","Politics","","Everyone being treated equally","No education","Yes","TV","No"
"2018/05/01 12:19:13 PM GMT+2","30-40","India","Yes","Maybe","Senior","Yes","No","None","No","Everyone being treated equally","Lack of strong leaders","Yes","Social Media","No"
"2018/05/01 12:30:04 PM GMT+2","20-30","India","Yes","No","Senior","Yes","","None","Any religion that takes extreme measures to assert themselves","Being free of terrorism and war","Terorrism","Maybe","Social Media","Maybe"
"2018/05/01 1:33:54 PM GMT+2","20-30","India","Yes","No","Senior","Yes","USA","War","None","Being free of terrorism and war","Politics played by the goverment","Yes","News papers","Yes"
"2018/05/01 3:06:54 PM GMT+2","30-40","Uae","Yes","No","Mix of the both","Yes","","None","","As long as you are happy, that is peace for you","Politics played by the goverment","Yes","Social Media","Maybe"
"2018/05/01 6:29:25 PM GMT+2","20-30","Italy","Yes","No","Senior","Yes","Germany","Politics","","Everyone being treated equally","Money earned from war","Yes","TV","No"
"2018/05/01 6:31:22 PM GMT+2","20-30","Italy","Yes","No","Mix of the both","No","Germany","Politics","","As long as you are happy, that is peace for you","Money earned from war","No","TV","Maybe"
"2018/05/01 10:44:01 PM GMT+2","20-30","Italy","Yes","Maybe","Senior","No","France","Personal negative experience","None","Being free of terrorism and war","Money earned from war","Maybe","News papers","Maybe"
"2018/05/02 7:00:10 AM GMT+2","20-30","India","Maybe","No","Senior","Yes","","None","","Being free of terrorism and war","Politics played by the goverment","Yes","Social Media","Maybe"
"2018/05/02 7:33:47 AM GMT+2","20-30","India","No","No","Senior","Yes","United States","None","","Everyone being treated equally","Politics played by the goverment","Yes","News papers","Maybe"
"2018/05/02 7:50:01 AM GMT+2","20-30","India","Yes","No","Senior","Yes","SYRIA","War","","As long as you are happy, that is peace for you","No education","Maybe","News papers","No"
"2018/05/02 9:24:25 AM GMT+2","20-30","India","Yes","Yes","Youth","Yes","N.A.","None","N.A.","Everyone being treated equally","No education","Yes","Social Media","Yes"
"2018/05/02 9:33:05 AM GMT+2","20-30","India ","Maybe","No","Senior","No","None","None","","As long as you are happy, that is peace for you","Politics played by the goverment","Maybe","Social Media","Maybe"
"2018/05/02 10:35:35 AM GMT+2","40-50","India","No","Maybe","Senior","Yes","Afghanistan","Terrorism","No","Everyone being treated equally","Lack of strong leaders","Yes","TV","Yes"
"2018/05/02 10:40:14 AM GMT+2","30-40","India","No","No","Mix of the both","No","None","None","No","Everyone being treated equally","Lack of strong leaders","Yes","News papers","Yes"
"2018/05/02 10:45:29 AM GMT+2","50-60","India","Yes","No","Senior","No","","War","","Everyone being treated equally","Politics played by the goverment","No","News papers","Maybe"
