GEO/PHYSACT,Walking to get to and from place,Cycling to get to and from place,Aerobic sports,Muscle-strengthening,Gender,Age
Belgium,0,0,0,0,male,17
Bulgaria,97.0,34.8,56.9,50.5,male,17
Czech Republic,97.2,73.0,72.5,56.6,male,17
Denmark,77.8,63.0,86.7,73.1,male,17
Germany (until 1990 former territory of the FRG),83.3,50.8,87.2,66.8,male,17
Estonia,88.2,41.4,64.7,55.6,male,17
Ireland,94.9,27.6,83.8,70.6,male,17
Greece,91.1,40.2,63.2,31.1,male,17
Spain,89.0,26.6,76.6,29.8,male,17
France,79.9,21.9,77.8,50.6,male,17
Croatia,93.2,59.7,58.7,26.4,male,17
Italy,83.9,32.5,60.8,33.2,male,17
Cyprus,32.5,9.5,55.5,25.2,male,17
Latvia,96.3,58.2,79.2,57.4,male,17
Lithuania,94.0,46.9,78.1,45.9,male,17
Luxembourg,94.2,39.0,92.5,62.8,male,17
Hungary,96.3,63.4,79.9,65.1,male,17
Malta,82.4,13.2,63.9,29.8,male,17
Austria,85.3,26.4,84.6,71.1,male,17
Poland,92.9,51.1,57.6,28.1,male,17
Portugal,78.6,14.3,77.8,40.7,male,17
Romania,99.5,48.8,30.2,13.0,male,17
Slovenia,90.5,57.0,90.8,67.4,male,17
Slovakia,91.7,55.1,68.0,47.8,male,17
Finland,79.2,30.3,82.2,74.2,male,17
Sweden,86.6,43.0,82.7,72.8,male,17
United Kingdom,87.2,26.4,76.8,47.8,male,17
Iceland,73.3,24.8,79.7,77.5,male,17
Norway,76.4,40.6,82.9,67.4,male,17
Turkey,86.4,18.7,19.9,12.7,male,17
Belgium,0,0,0,0,male,22
Bulgaria,94.3,19.6,30.4,29.9,male,22
Czech Republic,95.9,48.3,67.5,54.2,male,22
Denmark,83.9,50.0,68.8,62.5,male,22
Germany (until 1990 former territory of the FRG),79.1,29.9,76.2,61.5,male,22
Estonia,82.3,28.1,48.3,39.5,male,22
Ireland,84.9,19.4,61.1,64.9,male,22
Greece,91.0,26.4,52.6,33.7,male,22
Spain,87.2,21.6,73.7,38.2,male,22
France,64.9,13.0,67.0,49.2,male,22
Croatia,90.0,49.6,56.7,41.5,male,22
Italy,77.0,19.3,49.7,33.9,male,22
Cyprus,12.4,2.5,42.3,19.4,male,22
Latvia,92.7,36.0,60.1,53.0,male,22
Lithuania,79.7,17.0,56.7,40.5,male,22
Luxembourg,94.3,24.8,79.9,57.6,male,22
Hungary,91.1,48.7,57.9,51.1,male,22
Malta,76.3,8.4,64.3,26.0,male,22
Austria,85.5,30.0,83.9,65.7,male,22
Poland,88.6,31.7,42.6,25.7,male,22
Portugal,67.0,8.3,58.0,36.9,male,22
Romania,100,34.1,20.6,12.1,male,22
Slovenia,89.6,51.3,79.4,58.6,male,22
Slovakia,96.3,51.8,68.5,44.8,male,22
Finland,82.2,38.3,84.2,65.1,male,22
Sweden,87.7,31.9,74.7,67.3,male,22
United Kingdom,76.6,16.8,67.5,42.0,male,22
Iceland,64.6,16.7,77.4,69.0,male,22
Norway,71.7,23.1,75.8,54.2,male,22
Turkey,84.8,12.2,19.6,11.2,male,22
Belgium,0,0,0,0,male,30
Bulgaria,93.8,18.3,27.3,26.7,male,30
Czech Republic,96.6,43.9,55.3,36.9,male,30
Denmark,81.0,56.1,73.7,50.0,male,30
Germany (until 1990 former territory of the FRG),78.1,30.9,67.6,49.9,male,30
Estonia,82.6,32.5,50.2,30.7,male,30
Ireland,87.9,22.1,63.3,51.9,male,30
Greece,86.8,16.9,46.0,31.4,male,30
Spain,80.9,21.5,65.0,31.6,male,30
France,66.5,13.9,58.8,34.8,male,30
Croatia,88.4,38.1,31.2,17.0,male,30
Italy,75.6,19.7,42.6,26.2,male,30
Cyprus,13.4,6.3,40.7,17.7,male,30
Latvia,90.6,29.4,49.1,38.8,male,30
Lithuania,75.3,27.6,40.2,25.0,male,30
Luxembourg,88.6,20.6,71.7,44.3,male,30
Hungary,89.7,48.1,48.2,35.2,male,30
Malta,69.8,10.6,59.2,20.1,male,30
Austria,81.3,27.6,76.9,51.0,male,30
Poland,85.5,28.6,34.4,17.8,male,30
Portugal,55.4,10.2,58.5,33.1,male,30
Romania,99.5,21.6,11.1,6.0,male,30
Slovenia,81.0,41.0,67.5,47.1,male,30
Slovakia,87.9,41.3,51.3,31.4,male,30
Finland,77.0,27.5,80.1,64.2,male,30
Sweden,82.3,32.7,72.8,55.8,male,30
United Kingdom,78.5,13.1,68.6,41.7,male,30
Iceland,62.9,18.0,72.3,60.2,male,30
Norway,66.2,31.7,73.8,46.4,male,30
Turkey,81.4,7.6,12.8,7.1,male,30
Belgium,0,0,0,0,male,40
Bulgaria,95.5,19.3,17.1,15.9,male,40
Czech Republic,92.3,46.1,44.6,25.7,male,40
Denmark,73.1,44.3,71.6,44.7,male,40
Germany (until 1990 former territory of the FRG),74.1,33.0,61.0,36.7,male,40
Estonia,76.3,30.4,40.0,17.0,male,40
Ireland,84.9,22.3,52.8,36.2,male,40
Greece,84.3,10.2,27.4,17.1,male,40
Spain,80.0,17.6,55.7,20.3,male,40
France,63.0,15.9,52.8,25.8,male,40
